Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8047.369999999999,96568.44,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,2.1,25.20,USD,,"Hosted Zones (1), Number of domains stored (), Number of Elastic Network Interfaces ()"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,51.64999999999999,619.80,USD,,"Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month), Data transfer out to internet (1 GB per month), Number of requests (HTTPS) (4 million per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1.63,19.56,USD,,"S3 Standard storage (1 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (1000), GET, SELECT, and all other requests from S3 Standard (4000000), Data returned by S3 Select (1 GB per month), Data scanned by S3 Select (1 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Internet (0 TB per month), DT Outbound: Amazon CloudFront (1 GB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon API Gateway,0,379,4548.00,USD,,"HTTP API requests units (millions), Average size of each request (0 KB), REST API request units (millions), Cache memory size (GB) (28.4), WebSocket message units (thousands), Average message size (32 KB), Requests (0 per month), Requests (4 per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,26.939999999999998,323.28,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,65.78,789.36,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2242.72,26912.64,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,5277.549999999999,63330.60,USD,,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.m5d.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (100 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
